Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,0.89 (0.01),0.96 (0.00),0.14 (0.07),0.11 (0.03),0.14 (0.03),0.10 (0.02),686.61 (59.99)
Reweighing,0.89 (0.01),0.95 (0.00),0.13 (0.06),0.08 (0.05),0.11 (0.05),0.06 (0.03),687.71 (0.20)
FairBalance,0.89 (0.01),0.96 (0.00),0.09 (0.05),0.05 (0.02),0.07 (0.04),0.04 (0.01),687.68 (90.00)
FairBalanceVariant,0.88 (0.01),0.95 (0.01),0.09 (0.05),0.07 (0.05),0.08 (0.04),0.05 (0.03),627.69 (105.04)
