Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r4: 0.96 (0.01),r2: 0.99 (0.00),r3: 0.01 (0.01),r1: 0.02 (0.03),r2: 0.02 (0.01),r2: 0.01 (0.01),r0: 0.05 (0.00)
Reweighing,r4: 0.96 (0.01),r2: 0.98 (0.00),r1: 0.01 (0.01),r3: 0.06 (0.03),r1: 0.01 (0.01),r4: 0.03 (0.02),r1: 0.05 (0.00)
FairBalance,r6: 0.93 (0.02),r2: 0.98 (0.01),r3: 0.02 (0.02),r1: 0.02 (0.02),r3: 0.03 (0.01),r1: 0.00 (0.00),r1: 0.05 (0.00)
FairBalanceVariant,r5: 0.94 (0.02),r2: 0.98 (0.01),r3: 0.01 (0.02),r0: 0.01 (0.01),r2: 0.02 (0.02),r0: 0.00 (0.00),r1: 0.05 (0.00)
fairsmote,r7: 0.92 (0.02),r3: 0.98 (0.01),r3: 0.02 (0.02),r0: 0.01 (0.01),r2: 0.02 (0.02),r0: 0.00 (0.00),r8: 0.77 (0.02)
fairsmote-situation,r6: 0.93 (0.02),r3: 0.98 (0.01),r3: 0.02 (0.02),r1: 0.01 (0.02),r2: 0.02 (0.01),r1: 0.00 (0.00),r9: 0.80 (0.01)
Reweighing+fairway,r0: 0.99 (0.01),r0: 1.00 (0.00),r0: 0.00 (0.00),r2: 0.03 (0.03),r0: 0.01 (0.01),r3: 0.02 (0.02),r6: 0.08 (0.00)
FairBalance+fairway,r2: 0.98 (0.02),r0: 1.00 (0.00),r3: 0.02 (0.02),r0: 0.01 (0.01),r2: 0.02 (0.03),r1: 0.00 (0.00),r6: 0.08 (0.00)
FairBalanceVariant+fairway,r2: 0.97 (0.02),r0: 1.00 (0.00),r2: 0.01 (0.02),r0: 0.01 (0.01),r0: 0.01 (0.02),r1: 0.00 (0.00),r7: 0.08 (0.00)
Reweighing+fairsituation,r3: 0.97 (0.01),r1: 0.99 (0.01),r2: 0.01 (0.01),r2: 0.05 (0.03),r1: 0.01 (0.01),r4: 0.04 (0.01),r3: 0.07 (0.00)
FairBalance+fairsituation,r5: 0.94 (0.01),r1: 0.99 (0.01),r4: 0.03 (0.03),r1: 0.02 (0.02),r3: 0.03 (0.02),r1: 0.00 (0.00),r4: 0.07 (0.00)
FairBalanceVariant+fairsituation,r5: 0.94 (0.02),r1: 0.99 (0.01),r2: 0.01 (0.02),r1: 0.02 (0.01),r2: 0.02 (0.01),r0: 0.00 (0.00),r4: 0.07 (0.00)
None+fairway,r1: 0.98 (0.01),r0: 1.00 (0.00),r1: 0.00 (0.00),r2: 0.03 (0.05),r0: 0.01 (0.01),r3: 0.02 (0.01),r5: 0.07 (0.00)
None+fairsituation,r2: 0.97 (0.01),r1: 0.99 (0.01),r2: 0.01 (0.01),r2: 0.04 (0.03),r2: 0.02 (0.01),r2: 0.01 (0.01),r2: 0.07 (0.00)
