Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r6: 0.70 (0.00),r6: 0.76 (0.00),r6: 0.21 (0.02),r8: 0.29 (0.02),r6: 0.13 (0.01),r4: 0.15 (0.00),r0: 0.27 (0.01)
Reweighing,r7: 0.69 (0.00),r7: 0.75 (0.01),r2: 0.10 (0.03),r2: 0.07 (0.03),r0: 0.02 (0.01),r0: 0.01 (0.01),r1: 0.31 (0.01)
FairBalance,r7: 0.69 (0.01),r7: 0.75 (0.00),r1: 0.08 (0.03),r0: 0.04 (0.02),r0: 0.03 (0.01),r1: 0.02 (0.01),r1: 0.31 (0.01)
FairBalanceVariant,r8: 0.69 (0.01),r8: 0.75 (0.01),r0: 0.06 (0.03),r1: 0.05 (0.02),r0: 0.02 (0.01),r0: 0.01 (0.01),r2: 0.32 (0.01)
fairsmote,r7: 0.69 (0.01),r6: 0.76 (0.01),r1: 0.08 (0.04),r1: 0.05 (0.03),r0: 0.02 (0.01),r0: 0.01 (0.01),r8: 6.02 (0.06)
fairsmote-situation,r4: 0.72 (0.01),r2: 0.78 (0.01),r2: 0.10 (0.02),r3: 0.09 (0.02),r1: 0.03 (0.01),r2: 0.02 (0.01),r9: 6.16 (0.07)
Reweighing+fairway,r0: 0.74 (0.01),r1: 0.78 (0.01),r2: 0.09 (0.01),r4: 0.11 (0.02),r3: 0.04 (0.01),r3: 0.03 (0.01),r7: 0.44 (0.01)
FairBalance+fairway,r1: 0.73 (0.01),r1: 0.79 (0.00),r5: 0.17 (0.05),r5: 0.13 (0.05),r3: 0.05 (0.01),r3: 0.03 (0.01),r6: 0.43 (0.01)
FairBalanceVariant+fairway,r1: 0.73 (0.01),r2: 0.78 (0.00),r3: 0.11 (0.03),r3: 0.09 (0.03),r1: 0.03 (0.01),r1: 0.02 (0.01),r7: 0.44 (0.01)
Reweighing+fairsituation,r3: 0.72 (0.00),r4: 0.77 (0.00),r2: 0.10 (0.02),r3: 0.09 (0.03),r1: 0.03 (0.01),r1: 0.02 (0.01),r4: 0.38 (0.01)
FairBalance+fairsituation,r5: 0.71 (0.01),r4: 0.77 (0.01),r3: 0.11 (0.04),r2: 0.08 (0.04),r2: 0.03 (0.01),r2: 0.02 (0.01),r4: 0.38 (0.01)
FairBalanceVariant+fairsituation,r5: 0.71 (0.01),r5: 0.77 (0.01),r2: 0.09 (0.02),r1: 0.06 (0.03),r0: 0.02 (0.01),r0: 0.01 (0.00),r4: 0.38 (0.01)
None+fairway,r0: 0.74 (0.01),r0: 0.79 (0.01),r4: 0.14 (0.02),r7: 0.24 (0.01),r4: 0.11 (0.02),r4: 0.14 (0.02),r5: 0.41 (0.01)
None+fairsituation,r2: 0.73 (0.00),r3: 0.78 (0.00),r3: 0.12 (0.02),r6: 0.21 (0.02),r5: 0.12 (0.01),r4: 0.15 (0.01),r3: 0.34 (0.01)
