Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r2: 0.86 (0.01),r2: 0.93 (0.01),r1: 0.04 (0.04),r2: 0.06 (0.02),r2: 0.09 (0.04),r3: 0.06 (0.00),r0: 0.02 (0.00)
Reweighing,r2: 0.85 (0.02),r2: 0.93 (0.01),r0: 0.03 (0.04),r0: 0.02 (0.01),r1: 0.03 (0.03),r1: 0.00 (0.00),r2: 0.02 (0.00)
FairBalance,r2: 0.85 (0.02),r2: 0.93 (0.02),r0: 0.03 (0.03),r1: 0.02 (0.02),r1: 0.03 (0.02),r2: 0.00 (0.00),r1: 0.02 (0.00)
FairBalanceVariant,r2: 0.85 (0.03),r3: 0.92 (0.02),r0: 0.03 (0.05),r0: 0.02 (0.02),r0: 0.01 (0.02),r1: 0.00 (0.00),r1: 0.02 (0.00)
fairsmote,r2: 0.85 (0.03),r3: 0.92 (0.03),r0: 0.02 (0.03),r0: 0.01 (0.02),r0: 0.02 (0.01),r0: 0.00 (0.00),r6: 0.14 (0.00)
fairsmote-situation,r2: 0.86 (0.03),r2: 0.93 (0.03),r0: 0.04 (0.05),r1: 0.03 (0.05),r0: 0.02 (0.03),r2: 0.00 (0.01),r7: 0.14 (0.00)
Reweighing+fairway,r0: 0.88 (0.03),r0: 0.95 (0.01),r1: 0.06 (0.04),r1: 0.04 (0.03),r1: 0.03 (0.04),r2: 0.00 (0.00),r5: 0.03 (0.00)
FairBalance+fairway,r0: 0.88 (0.03),r0: 0.95 (0.01),r0: 0.04 (0.05),r1: 0.02 (0.06),r1: 0.03 (0.02),r2: 0.01 (0.00),r4: 0.03 (0.00)
FairBalanceVariant+fairway,r0: 0.88 (0.02),r1: 0.94 (0.01),r0: 0.03 (0.05),r1: 0.04 (0.03),r0: 0.03 (0.03),r1: 0.00 (0.00),r4: 0.03 (0.00)
Reweighing+fairsituation,r1: 0.87 (0.02),r2: 0.93 (0.02),r1: 0.06 (0.05),r1: 0.04 (0.04),r1: 0.03 (0.03),r1: 0.00 (0.00),r3: 0.02 (0.00)
FairBalance+fairsituation,r1: 0.87 (0.02),r2: 0.93 (0.01),r1: 0.04 (0.03),r1: 0.03 (0.04),r1: 0.04 (0.03),r2: 0.00 (0.00),r3: 0.02 (0.00)
FairBalanceVariant+fairsituation,r1: 0.86 (0.02),r2: 0.93 (0.02),r0: 0.03 (0.05),r1: 0.02 (0.03),r0: 0.02 (0.02),r1: 0.00 (0.00),r3: 0.02 (0.00)
None+fairway,r0: 0.89 (0.02),r0: 0.95 (0.01),r1: 0.07 (0.05),r1: 0.05 (0.06),r2: 0.09 (0.06),r3: 0.06 (0.02),r4: 0.03 (0.00)
None+fairsituation,r1: 0.87 (0.02),r2: 0.93 (0.02),r2: 0.08 (0.06),r3: 0.07 (0.04),r2: 0.10 (0.03),r3: 0.06 (0.01),r3: 0.02 (0.00)
