Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r2: 0.97 (0.01),r2: 1.00 (0.00),r0: 0.01 (0.01),r0: 0.01 (0.01),r2: 0.03 (0.01),r4: 0.01 (0.01),r0: 0.04 (0.00)
Reweighing,r2: 0.97 (0.01),r2: 1.00 (0.00),r0: 0.01 (0.01),r1: 0.01 (0.01),r1: 0.02 (0.01),r5: 0.01 (0.01),r1: 0.04 (0.00)
FairBalance,r3: 0.97 (0.01),r2: 1.00 (0.00),r1: 0.03 (0.02),r0: 0.01 (0.01),r2: 0.03 (0.01),r2: 0.00 (0.00),r1: 0.04 (0.00)
FairBalanceVariant,r3: 0.97 (0.01),r2: 1.00 (0.00),r1: 0.02 (0.02),r0: 0.01 (0.01),r2: 0.03 (0.01),r2: 0.00 (0.00),r1: 0.04 (0.00)
fairsmote,r5: 0.95 (0.02),r4: 0.99 (0.00),r1: 0.02 (0.03),r0: 0.01 (0.01),r1: 0.03 (0.02),r1: 0.00 (0.00),r6: 0.25 (0.00)
fairsmote-situation,r4: 0.96 (0.02),r3: 0.99 (0.00),r2: 0.04 (0.03),r2: 0.02 (0.02),r1: 0.03 (0.01),r3: 0.00 (0.00),r7: 0.27 (0.00)
Reweighing+fairway,r0: 0.99 (0.01),r0: 1.00 (0.00),r0: 0.01 (0.01),r0: 0.01 (0.02),r0: 0.02 (0.01),r5: 0.01 (0.01),r5: 0.06 (0.00)
FairBalance+fairway,r0: 0.99 (0.01),r0: 1.00 (0.00),r1: 0.01 (0.01),r0: 0.01 (0.01),r1: 0.03 (0.02),r0: 0.00 (0.00),r5: 0.06 (0.00)
FairBalanceVariant+fairway,r0: 0.99 (0.01),r0: 1.00 (0.00),r1: 0.01 (0.01),r0: 0.01 (0.01),r1: 0.03 (0.02),r0: 0.00 (0.00),r5: 0.06 (0.00)
Reweighing+fairsituation,r1: 0.98 (0.01),r1: 1.00 (0.00),r1: 0.02 (0.02),r1: 0.01 (0.02),r0: 0.02 (0.01),r5: 0.01 (0.00),r3: 0.06 (0.00)
FairBalance+fairsituation,r1: 0.98 (0.01),r1: 1.00 (0.00),r1: 0.03 (0.02),r0: 0.01 (0.01),r2: 0.04 (0.02),r1: 0.00 (0.00),r3: 0.06 (0.00)
FairBalanceVariant+fairsituation,r1: 0.98 (0.01),r1: 1.00 (0.00),r1: 0.03 (0.03),r0: 0.01 (0.01),r2: 0.04 (0.02),r1: 0.00 (0.00),r3: 0.06 (0.00)
None+fairway,r0: 0.99 (0.01),r0: 1.00 (0.00),r1: 0.02 (0.01),r0: 0.01 (0.01),r1: 0.03 (0.01),r4: 0.01 (0.01),r4: 0.06 (0.00)
None+fairsituation,r1: 0.98 (0.01),r1: 1.00 (0.00),r1: 0.02 (0.02),r1: 0.01 (0.01),r2: 0.03 (0.01),r3: 0.00 (0.00),r2: 0.06 (0.00)
