Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,r3: 0.79 (0.01),r4: 0.84 (0.01),r3: 0.19 (0.04),r5: 0.18 (0.04),r4: 0.15 (0.02),r5: 0.12 (0.01),r0: 0.06 (0.00)
Reweighing,r3: 0.79 (0.01),r5: 0.84 (0.01),r0: 0.06 (0.05),r3: 0.11 (0.04),r1: 0.06 (0.02),r2: 0.03 (0.01),r1: 0.07 (0.00)
FairBalance,r6: 0.75 (0.01),r5: 0.84 (0.01),r2: 0.13 (0.07),r1: 0.05 (0.04),r2: 0.09 (0.03),r1: 0.02 (0.02),r1: 0.07 (0.00)
FairBalanceVariant,r6: 0.74 (0.02),r6: 0.82 (0.02),r1: 0.09 (0.05),r1: 0.05 (0.03),r0: 0.05 (0.02),r0: 0.01 (0.01),r2: 0.07 (0.00)
fairsmote,r5: 0.76 (0.02),r4: 0.84 (0.02),r1: 0.07 (0.04),r0: 0.03 (0.02),r0: 0.05 (0.03),r0: 0.01 (0.02),r9: 1.91 (0.03)
fairsmote-situation,r4: 0.78 (0.02),r3: 0.85 (0.02),r1: 0.09 (0.06),r1: 0.05 (0.04),r1: 0.05 (0.03),r1: 0.02 (0.02),r9: 1.92 (0.04)
Reweighing+fairway,r0: 0.86 (0.02),r0: 0.89 (0.02),r0: 0.06 (0.02),r3: 0.12 (0.05),r0: 0.04 (0.03),r3: 0.04 (0.03),r6: 0.11 (0.00)
FairBalance+fairway,r1: 0.82 (0.02),r0: 0.89 (0.02),r2: 0.12 (0.07),r2: 0.08 (0.02),r2: 0.09 (0.06),r1: 0.03 (0.03),r7: 0.11 (0.00)
FairBalanceVariant+fairway,r2: 0.82 (0.03),r1: 0.88 (0.02),r2: 0.12 (0.07),r2: 0.07 (0.05),r1: 0.06 (0.03),r0: 0.02 (0.01),r8: 0.12 (0.02)
Reweighing+fairsituation,r1: 0.82 (0.02),r2: 0.86 (0.01),r1: 0.07 (0.04),r2: 0.09 (0.06),r0: 0.05 (0.02),r3: 0.04 (0.01),r4: 0.09 (0.00)
FairBalance+fairsituation,r4: 0.78 (0.02),r2: 0.86 (0.01),r1: 0.10 (0.07),r3: 0.10 (0.05),r1: 0.07 (0.03),r1: 0.03 (0.02),r4: 0.09 (0.00)
FairBalanceVariant+fairsituation,r5: 0.76 (0.02),r4: 0.84 (0.02),r2: 0.11 (0.07),r2: 0.07 (0.05),r0: 0.04 (0.02),r0: 0.01 (0.01),r4: 0.09 (0.00)
None+fairway,r0: 0.87 (0.01),r0: 0.89 (0.02),r1: 0.09 (0.05),r4: 0.15 (0.05),r2: 0.11 (0.04),r4: 0.11 (0.03),r5: 0.11 (0.00)
None+fairsituation,r1: 0.82 (0.01),r2: 0.86 (0.01),r2: 0.12 (0.05),r4: 0.14 (0.09),r3: 0.14 (0.03),r4: 0.12 (0.02),r3: 0.08 (0.00)
