Treatment,Accuracy,F1 Minority,EOD,AOD,Runtime
None,r0: 0.90 (0.00),r2: 0.45 (0.01),r3: 0.13 (0.05),r2: 0.09 (0.03),r0: 0.98 (0.06)
FERMI,r0: 0.90 (0.00),r3: 0.44 (0.01),r0: 0.05 (0.05),r0: 0.02 (0.03),r2: 6.82 (0.46)
Reweighing,r0: 0.90 (0.00),r2: 0.45 (0.01),r2: 0.09 (0.04),r1: 0.04 (0.02),r1: 1.06 (0.07)
FairBalance,r1: 0.84 (0.00),r0: 0.55 (0.00),r1: 0.07 (0.04),r0: 0.01 (0.02),r0: 0.96 (0.07)
FairBalanceVariant,r2: 0.83 (0.00),r1: 0.53 (0.01),r0: 0.04 (0.04),r0: 0.02 (0.02),r1: 1.03 (0.12)
