Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,R1: 60 (1),R0: 66 (0),R1: 1 (0),R1: 7 (5),R2: 11 (6),R1: 9 (5),R2: 14 (3),R4: 19 (5),R3: 17 (3)
compas,Reweighing: race,R1: 61 (1),R0: 66 (0),R0: 1 (0),R3: 19 (4),R3: 22 (5),R3: 22 (3),R0: 3 (10),R1: 4 (11),R0: 2 (10)
compas,Fair-SMOTE: sex,R0: 61 (2),R1: 65 (1),R5: 579 (82),R1: 6 (7),R1: 4 (7),R0: 3 (7),R0: 5 (10),R2: 9 (10),R1: 7 (10)
compas,Fair-SMOTE: race,R0: 62 (1),R1: 65 (1),R4: 395 (64),R3: 20 (6),R3: 21 (9),R3: 23 (4),R0: 6 (6),R1: 3 (5),R0: 4 (6)
compas,AdversialDebiasing: sex,R1: 61 (2),R0: 66 (1),R3: 226 (20),R5: 27 (11),R5: 33 (15),R5: 29 (9),R3: 19 (5),R5: 24 (7),R4: 21 (5)
compas,AdversialDebiasing: race,R1: 60 (2),R0: 66 (1),R3: 221 (19),R2: 14 (9),R3: 19 (10),R2: 17 (8),R1: 12 (8),R3: 15 (8),R2: 14 (8)
compas,RejectOptionClassification: sex,R0: 62 (2),R1: 66 (1),R6: 1029 (66),R0: 3 (9),R1: 8 (15),R0: 4 (7),R3: 19 (4),R5: 22 (4),R4: 21 (4)
compas,RejectOptionClassification: race,R0: 62 (2),R1: 66 (0),R6: 1058 (43),R4: 22 (3),R4: 23 (7),R4: 25 (2),R0: 2 (5),R1: 4 (10),R0: 2 (5)
compas,FairBalance,R1: 60 (2),R1: 66 (1),R2: 2 (0),R0: 4 (5),R1: 5 (6),R1: 8 (5),R0: 6 (10),R1: 7 (11),R0: 6 (10)
compas,FairBalanceClass,R0: 62 (1),R1: 65 (1),R2: 2 (0),R0: 3 (5),R0: 3 (5),R0: 2 (5),R0: 3 (3),R0: 2 (5),R0: 2 (3)
