Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
adult,Reweighing: sex,R5: 49 (0),R2: 78 (0),R0: 14 (0),R0: 1 (1),R0: 2 (3),R1: 6 (0),R2: 14 (9),R3: 21 (17),R3: 12 (4)
adult,Reweighing: race,R6: 49 (1),R0: 80 (0),R1: 16 (1),R2: 28 (0),R2: 46 (0),R4: 21 (0),R1: 0 (1),R0: 1 (3),R0: 4 (0)
adult,Fair-SMOTE: sex,R2: 54 (0),R6: 69 (2),R7: 7710 (2871),R0: 1 (1),R0: 2 (1),R3: 9 (1),R3: 26 (4),R4: 26 (5),R5: 28 (5)
adult,Fair-SMOTE: race,R0: 57 (0),R4: 72 (0),R7: 8863 (1507),R3: 32 (1),R1: 35 (2),R5: 37 (0),R1: 2 (2),R0: 1 (3),R2: 8 (2)
adult,AdversialDebiasing: sex,R4: 50 (0),R1: 79 (0),R4: 1445 (33),R1: 3 (2),R0: 5 (4),R3: 8 (1),R2: 14 (3),R3: 21 (4),R3: 13 (2)
adult,AdversialDebiasing: race,R6: 48 (1),R0: 80 (0),R4: 1445 (31),R2: 29 (0),R2: 46 (1),R4: 22 (0),R1: 2 (4),R0: 3 (6),R0: 3 (3)
adult,RejectOptionClassification: sex,R3: 53 (0),R6: 70 (1),R6: 5954 (242),R1: 4 (4),R0: 3 (4),R0: 4 (4),R2: 17 (2),R2: 17 (5),R4: 21 (1)
adult,RejectOptionClassification: race,R1: 57 (0),R5: 71 (0),R5: 5666 (52),R4: 34 (0),R1: 37 (2),R6: 39 (1),R1: 2 (2),R1: 3 (2),R0: 3 (3)
adult,FairBalance,R4: 50 (1),R2: 78 (0),R3: 19 (0),R0: 1 (7),R0: 2 (12),R2: 6 (3),R0: 0 (1),R0: 1 (3),R0: 4 (1)
adult,FairBalanceClass,R2: 54 (1),R3: 73 (1),R2: 18 (0),R0: 1 (5),R0: 2 (5),R3: 8 (4),R1: 1 (1),R0: 1 (2),R1: 6 (2)
german,Reweighing: sex,R3: 12 (12),R0: 69 (3),R0: 0 (0),R1: 6 (11),R1: 7 (14),R1: 5 (10),R2: 20 (24),R2: 20 (29),R3: 20 (23)
german,Reweighing: age,R4: 4 (6),R0: 69 (2),R0: 0 (0),R1: 1 (3),R1: 3 (4),R1: 1 (3),R0: 1 (2),R1: 2 (4),R0: 0 (1)
german,Fair-SMOTE: sex,R0: 50 (5),R1: 62 (2),R3: 103 (25),R1: 5 (9),R1: 6 (13),R2: 5 (8),R2: 14 (11),R2: 13 (16),R2: 18 (10)
german,Fair-SMOTE: age,R1: 50 (5),R1: 60 (3),R4: 123 (24),R1: 5 (8),R1: 6 (12),R2: 4 (10),R1: 8 (12),R1: 8 (15),R1: 10 (13)
german,AdversialDebiasing: sex,R2: 28 (19),R0: 68 (8),R2: 67 (1),R3: 33 (80),R3: 48 (107),R3: 31 (66),R2: 23 (35),R3: 29 (54),R3: 22 (30)
german,AdversialDebiasing: age,R2: 35 (14),R1: 63 (34),R2: 68 (0),R2: 20 (38),R2: 25 (49),R2: 18 (37),R3: 73 (144),R4: 77 (148),R3: 73 (143)
german,RejectOptionClassification: sex,R0: 53 (4),R1: 60 (2),R5: 272 (10),R1: 3 (6),R1: 4 (10),R2: 6 (6),R2: 16 (14),R2: 14 (16),R3: 22 (9)
german,RejectOptionClassification: age,R1: 49 (4),R1: 58 (4),R5: 268 (3),R2: 7 (9),R1: 5 (8),R2: 8 (7),R1: 6 (9),R1: 6 (11),R1: 8 (12)
german,FairBalance,R4: 4 (7),R0: 70 (2),R1: 0 (0),R0: 0 (1),R0: 0 (2),R0: 0 (1),R0: 0 (2),R0: 1 (5),R0: 0 (1)
german,FairBalanceClass,R1: 50 (4),R1: 59 (3),R1: 0 (0),R1: 3 (7),R1: 5 (10),R2: 4 (7),R1: 6 (8),R1: 6 (13),R1: 10 (9)
