Dataset,Algorithm,F1,Accuracy,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,62 (1),\cellcolor{green!70}66 (0),5 (8),8 (7),8 (8),\cellcolor{red!70}22 (2),\cellcolor{red!70}26 (3),\cellcolor{red!70}26 (2)
compas,Reweighing: race,62 (1),65 (0),\cellcolor{red!70}24 (4),\cellcolor{red!70}28 (6),\cellcolor{red!70}26 (3),0 (4),5 (6),5 (4)
compas,AdversialDebiasing: sex,63 (2),\cellcolor{green!70}66 (1),\cellcolor{red!70}33 (10),\cellcolor{red!70}40 (16),\cellcolor{red!70}36 (9),\cellcolor{red!70}25 (10),\cellcolor{red!70}28 (9),\cellcolor{red!70}29 (9)
compas,AdversialDebiasing: race,62 (2),64 (1),\cellcolor{red!70}21 (6),\cellcolor{red!70}25 (10),\cellcolor{red!70}24 (4),\cellcolor{red!70}-1 (26),\cellcolor{red!70}0 (27),\cellcolor{red!70}2 (24)
compas,RejectOptionClassification: sex,61 (1),64 (1),0 (9),4 (9),\cellcolor{green!70}1 (9),\cellcolor{red!70}24 (4),\cellcolor{red!70}27 (4),\cellcolor{red!70}27 (4)
compas,RejectOptionClassification: race,63 (0),65 (1),\cellcolor{red!70}22 (3),\cellcolor{red!70}22 (6),\cellcolor{red!70}25 (2),3 (2),\cellcolor{red!70}6 (4),\cellcolor{red!70}6 (3)
compas,FairBalance,62 (0),65 (1),6 (3),5 (5),10 (4),-2 (4),0 (6),1 (3)
compas,FairBalanceClass,\cellcolor{green!70}63 (1),\cellcolor{red!70}64 (0),4 (8),4 (10),8 (8),7 (11),\cellcolor{red!70}10 (8),\cellcolor{red!70}10 (11)
adult,Reweighing: sex,\cellcolor{red!70}49 (0),79 (0),0 (1),0 (2),\cellcolor{green!70}-6 (0),\cellcolor{red!70}-20 (11),\cellcolor{red!70}-32 (19),\cellcolor{red!70}-15 (5)
adult,Reweighing: race,\cellcolor{red!70}48 (0),\cellcolor{green!70}80 (0),\cellcolor{red!70}-29 (0),\cellcolor{red!70}-46 (0),\cellcolor{red!70}-22 (0),0 (0),1 (1),-4 (0)
adult,AdversialDebiasing: sex,\cellcolor{red!70}50 (0),\cellcolor{green!70}79 (0),-2 (2),-4 (4),-8 (1),\cellcolor{red!70}-14 (3),\cellcolor{red!70}-20 (5),\cellcolor{red!70}-13 (2)
adult,AdversialDebiasing: race,\cellcolor{red!70}49 (0),\cellcolor{green!70}80 (0),\cellcolor{red!70}-28 (0),\cellcolor{red!70}-46 (1),\cellcolor{red!70}-21 (0),1 (2),3 (5),-3 (1)
adult,RejectOptionClassification: sex,\cellcolor{green!70}53 (0),\cellcolor{red!70}69 (0),4 (0),3 (0),\cellcolor{green!70}-3 (0),\cellcolor{red!70}-15 (1),\cellcolor{red!70}-14 (2),\cellcolor{red!70}-21 (1)
adult,RejectOptionClassification: race,\cellcolor{green!70}57 (0),\cellcolor{red!70}72 (0),\cellcolor{red!70}-34 (2),\cellcolor{red!70}-38 (1),\cellcolor{red!70}-39 (2),2 (1),\cellcolor{red!35}3 (3),-3 (2)
adult,FairBalance,50 (0),78 (0),0 (8),0 (12),-6 (4),0 (1),1 (2),-4 (1)
adult,FairBalanceClass,\cellcolor{green!70}54 (1),\cellcolor{red!70}74 (0),1 (1),1 (1),-7 (0),0 (1),0 (3),\cellcolor{red!70}-5 (1)
german,Reweighing: sex,\cellcolor{green!70}10 (8),68 (1),\cellcolor{red!70}-5 (4),\cellcolor{red!70}-6 (6),\cellcolor{red!70}-4 (3),\cellcolor{red!70}21 (12),\cellcolor{red!70}19 (14),\cellcolor{red!70}22 (12)
german,Reweighing: age,5 (7),69 (2),2 (4),6 (8),1 (3),-1 (2),0 (4),0 (1)
german,AdversialDebiasing: sex,\cellcolor{green!70}35 (14),\cellcolor{red!70}62 (16),\cellcolor{red!70}-30 (90),\cellcolor{red!70}-35 (103),\cellcolor{red!70}-28 (85),\cellcolor{red!70}4 (53),\cellcolor{red!70}7 (53),\cellcolor{red!70}8 (54)
german,AdversialDebiasing: age,\cellcolor{green!70}34 (15),59 (37),\cellcolor{red!70}-3 (34),\cellcolor{red!70}-1 (45),\cellcolor{red!70}-2 (34),\cellcolor{red!70}-28 (151),\cellcolor{red!70}-32 (156),\cellcolor{red!70}-26 (150)
german,RejectOptionClassification: sex,\cellcolor{green!70}54 (3),\cellcolor{red!70}60 (2),\cellcolor{red!70}-1 (9),\cellcolor{red!70}-3 (9),\cellcolor{red!70}2 (8),\cellcolor{red!70}20 (14),\cellcolor{red!70}17 (12),\cellcolor{red!70}23 (14)
german,RejectOptionClassification: age,\cellcolor{green!70}47 (4),\cellcolor{red!70}55 (3),\cellcolor{red!70}8 (2),\cellcolor{red!70}4 (10),\cellcolor{red!70}12 (5),\cellcolor{red!70}2 (10),\cellcolor{red!70}1 (8),\cellcolor{red!70}7 (11)
german,FairBalance,0 (3),69 (2),0 (2),0 (0),0 (2),0 (1),0 (2),0 (1)
german,FairBalanceClass,\cellcolor{green!70}52 (4),\cellcolor{red!70}61 (3),\cellcolor{red!70}3 (10),\cellcolor{red!70}2 (10),\cellcolor{red!70}3 (14),\cellcolor{red!70}5 (10),\cellcolor{red!70}3 (13),\cellcolor{red!70}10 (9)
