Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,R1: 60 (1),R0: 66 (0),R1: 1 (0),R1: 7 (5),R1: 11 (6),R2: 9 (5),R2: 14 (3),R4: 19 (5),R4: 17 (3)
compas,Reweighing: race,R1: 61 (1),R0: 66 (0),R0: 1 (0),R3: 19 (4),R2: 22 (5),R4: 22 (3),R0: 3 (10),R1: 4 (11),R0: 2 (10)
compas,Reweighing-Multiple,R1: 60 (1),R0: 66 (1),R3: 2 (0),R0: 3 (3),R0: 3 (5),R1: 7 (3),R0: 5 (4),R2: 9 (6),R2: 8 (4)
compas,Fair-SMOTE: sex,R0: 61 (2),R1: 65 (1),R7: 579 (82),R0: 6 (7),R0: 4 (7),R0: 3 (7),R0: 5 (10),R2: 9 (10),R2: 7 (10)
compas,Fair-SMOTE: race,R0: 62 (1),R1: 65 (1),R6: 395 (64),R3: 20 (6),R2: 21 (9),R4: 23 (4),R0: 6 (6),R1: 3 (5),R0: 4 (6)
compas,Fair-SMOTE-Multiple,R0: 62 (1),R1: 65 (1),R6: 400 (54),R0: 4 (10),R0: 4 (8),R0: 3 (9),R0: 3 (5),R0: 3 (7),R0: 2 (5)
compas,AdversialDebiasing: sex,R1: 61 (2),R0: 66 (1),R5: 226 (20),R5: 27 (11),R4: 33 (15),R6: 29 (9),R3: 19 (5),R5: 24 (7),R5: 21 (5)
compas,AdversialDebiasing: race,R1: 60 (2),R0: 66 (1),R5: 221 (19),R2: 14 (9),R2: 19 (10),R3: 17 (8),R1: 12 (8),R3: 15 (8),R3: 14 (8)
compas,RejectOptionClassification: sex,R0: 62 (2),R1: 66 (1),R8: 1029 (66),R0: 3 (9),R0: 8 (15),R0: 4 (7),R3: 19 (4),R5: 22 (4),R5: 21 (4)
compas,RejectOptionClassification: race,R0: 62 (2),R1: 66 (0),R8: 1058 (43),R4: 22 (3),R3: 23 (7),R5: 25 (2),R0: 2 (5),R1: 4 (10),R0: 2 (5)
compas,FERMI30K,R0: 62 (1),R1: 65 (0),R4: 53 (5),R0: 2 (3),R0: 3 (6),R0: 5 (3),R0: 6 (3),R1: 4 (4),R0: 4 (4)
compas,FERMI10K,R0: 62 (1),R1: 65 (1),R4: 51 (2),R0: 4 (4),R0: 5 (7),R1: 8 (4),R0: 5 (5),R0: 3 (6),R0: 3 (4)
compas,FairBalance,R1: 60 (2),R1: 66 (1),R2: 2 (0),R0: 4 (5),R0: 5 (6),R1: 8 (5),R0: 6 (10),R1: 7 (11),R1: 6 (10)
compas,FairBalanceClass,R0: 62 (1),R1: 65 (1),R2: 2 (0),R0: 3 (5),R0: 3 (5),R0: 2 (5),R0: 3 (3),R0: 2 (5),R0: 2 (3)
adult,Reweighing: sex,R7: 49 (0),R2: 78 (0),R0: 14 (0),R0: 1 (1),R0: 2 (3),R1: 6 (0),R3: 14 (9),R5: 21 (17),R3: 12 (4)
adult,Reweighing: race,R8: 49 (1),R0: 80 (0),R1: 16 (1),R4: 28 (0),R4: 46 (0),R5: 21 (0),R1: 0 (1),R0: 1 (3),R0: 4 (0)
adult,Reweighing-Multiple,R6: 50 (7),R2: 78 (0),R4: 24 (1),R0: 1 (5),R0: 3 (9),R1: 6 (1),R1: 2 (4),R1: 4 (7),R0: 3 (3)
adult,Fair-SMOTE: sex,R3: 54 (0),R6: 69 (2),R10: 7710 (2871),R0: 1 (1),R0: 2 (1),R3: 9 (1),R4: 26 (4),R6: 26 (5),R5: 28 (5)
adult,Fair-SMOTE: race,R0: 57 (0),R4: 72 (0),R10: 8863 (1507),R5: 32 (1),R3: 35 (2),R7: 37 (0),R1: 2 (2),R0: 1 (3),R2: 8 (2)
adult,Fair-SMOTE-Multiple,R2: 55 (0),R5: 72 (1),R9: 6002 (83),R2: 9 (6),R1: 10 (6),R4: 17 (6),R2: 8 (6),R3: 8 (7),R3: 13 (5)
adult,AdversialDebiasing: sex,R6: 50 (0),R1: 79 (0),R7: 1445 (33),R1: 3 (2),R0: 5 (4),R3: 8 (1),R3: 14 (3),R5: 21 (4),R3: 13 (2)
adult,AdversialDebiasing: race,R8: 48 (1),R0: 80 (0),R7: 1445 (31),R4: 29 (0),R4: 46 (1),R5: 22 (0),R1: 2 (4),R0: 3 (6),R0: 3 (3)
adult,RejectOptionClassification: sex,R4: 53 (0),R6: 70 (1),R9: 5954 (242),R1: 4 (4),R0: 3 (4),R0: 4 (4),R3: 17 (2),R4: 17 (5),R4: 21 (1)
adult,RejectOptionClassification: race,R1: 57 (0),R5: 71 (0),R8: 5666 (52),R6: 34 (0),R3: 37 (2),R8: 39 (1),R1: 2 (2),R1: 3 (2),R0: 3 (3)
adult,FERMI30K,R5: 51 (0),R8: 64 (1),R6: 1264 (23),R1: 3 (4),R0: 3 (4),R0: 3 (4),R2: 7 (4),R3: 8 (4),R0: 3 (4)
adult,FERMI10K,R2: 55 (0),R7: 69 (0),R5: 63 (0),R3: 26 (1),R2: 26 (2),R6: 33 (1),R2: 9 (3),R2: 6 (3),R3: 15 (2)
adult,FairBalance,R6: 50 (1),R2: 78 (0),R3: 19 (0),R0: 1 (7),R0: 2 (12),R2: 6 (3),R0: 0 (1),R0: 1 (3),R0: 4 (1)
