Treatment,Accuracy,F1 Minority,EOD,AOD,Runtime
None,r0: 0.85 (0.00),r2: 0.66 (0.01),r1: 0.18 (0.06),r3: 0.13 (0.03),r0: 0.95 (0.10)
FERMI,r2: 0.84 (0.00),r4: 0.62 (0.01),r2: 0.22 (0.05),r2: 0.11 (0.03),r2: 8.31 (0.74)
Reweighing,r1: 0.84 (0.00),r3: 0.63 (0.01),r1: 0.16 (0.04),r1: 0.07 (0.02),r1: 1.14 (0.08)
FairBalance,r3: 0.81 (0.00),r0: 0.68 (0.00),r0: 0.07 (0.02),r0: 0.04 (0.03),r1: 1.17 (0.11)
FairBalanceVariant,r4: 0.81 (0.00),r1: 0.67 (0.00),r0: 0.07 (0.03),r0: 0.04 (0.03),r1: 1.15 (0.07)
